"","year","anomaly_total_mean","anomaly_spring_mean","anomaly_fall_mean"
"1",1977,-2.52096619482404,-3.41375110701328,-1.93508012009898
"2",1978,-1.85214377965428,-3.39282037869285,-1.67589359541883
"3",1979,0.445065235124081,-1.71631746455544,2.56952276439759
"4",1980,-0.841712928333799,-1.22469132137548,-0.634360529627158
"5",1981,-0.648982824188905,-0.666399932854856,-0.389585641151553
"6",1982,0.0316408017942024,0.151441250928161,-0.909917699750723
"7",1983,-0.843780093476652,-0.0400532348588426,-1.56534727421671
"8",1984,-0.914764918286756,-0.493362214629086,-1.15291504454212
"9",1985,-1.23656578701811,-2.1571735819917,-1.26224319044853
"10",1986,-1.16141249787653,-1.61162635442666,-0.870791569148766
"11",1987,0.537967425474926,1.33873331404333,-0.86264349198521
"12",1988,-1.73541103779106,-2.2886319027749,-1.50452089590447
"13",1989,-0.111865494510739,NA,0.635918263724871
"14",1990,1.80681393283764,NA,1.06504512730331
"15",1991,2.38705307745728,NA,3.17155545530372
"16",1992,1.55687582485707,3.08127579754026,0.719981274542821
"17",1993,0.815695555677263,1.69414904265062,-0.167444814905918
"18",1994,1.14971658602213,0.910340605131528,1.4820100542695
"19",1995,1.15898068195944,1.10230653478515,1.49833787510428
"20",1996,1.79567608260082,2.27831214489189,0.524583400998243
"21",1997,1.62122075231341,1.64117061405027,0.957754286720792
"22",1998,2.83984353810382,3.94172600795511,2.71079466991422
"23",1999,-0.224741627589099,-1.77241429196722,0.336719412909968
"24",2000,2.20693690868135,1.52120845115149,0.81303554882968
"25",2001,0.833486942331644,3.4588095524156,-1.03433310504128
"26",2002,-1.49273877720941,-2.22695802302917,-1.1417308856458
"27",2003,-0.970380226307602,-0.304941770301234,-1.47469746532396
"28",2004,-0.85360397728094,-1.13850114663336,-0.991562578620488
"29",2005,-1.15137967811173,-1.64995711983388,-1.0895280343845
"30",2006,0.0864549261429859,0.259689823362556,-0.579974616894094
"31",2007,-0.636685673040623,-0.508402200361677,-0.531755721499301
"32",2008,-1.15771867927476,-3.67771690208039,-0.699103360069566
"33",2009,-0.424544640170448,-0.384727187443392,-0.448009994563035
"34",2010,0.00841536065455416,0.695087349322104,-0.478108002189188
"35",2011,-0.365589056891043,-0.921652594919704,0.742394848826284
"36",2012,0.644641919296546,-0.470009800442613,1.55582776005817
"37",2013,1.60405709648175,-0.0407119219873324,1.7484262061736
"38",2014,0.889891007749066,1.63012495792833,0.218282740452565
"39",2015,2.42528744363696,2.68536049586849,2.05251606877176
"40",2016,-0.23861772749961,-0.937132700395709,1.14080465094019
"41",2017,1.50732835937778,1.33425150601576,1.19644152601545
"42",2018,1.11192900496659,0.200926235630783,2.42782189400721
"43",2019,1.56268227931231,1.77158215174425,0.60266186936214
"44",2021,3.52335662308,2.6935594548334,3.59043870174538
"45",2022,0.213370122416127,-0.951879756270556,2.11229585064628
"46",2023,0.0166859335483922,3.86811593569237,-1.46761983677357
