"","x"
"GB_2000",48
"GB_2001",49
"GB_2002",50
"GB_2003",46
"GB_2004",48
"GB_2005",48
"GB_2006",47
"GB_2007",49
"GB_2008",49
"GB_2009",48
"GB_2010",52
"GB_2011",51
"GB_2012",51
"GB_2013",51
"GB_2014",52
"GB_2015",51
"GB_2016",51
"GB_2017",48
"GB_2018",52
"GB_2019",52
"GOM_2000",44
"GOM_2001",43
"GOM_2002",46
"GOM_2003",41
"GOM_2004",43
"GOM_2005",44
"GOM_2006",45
"GOM_2007",45
"GOM_2008",44
"GOM_2009",44
"GOM_2010",45
"GOM_2011",46
"GOM_2012",47
"GOM_2013",45
"GOM_2014",46
"GOM_2015",49
"GOM_2016",48
"GOM_2017",46
"GOM_2018",49
"GOM_2019",46
"MAB_2000",50
"MAB_2001",54
"MAB_2002",52
"MAB_2003",51
"MAB_2004",52
"MAB_2005",51
"MAB_2006",50
"MAB_2007",51
"MAB_2008",51
"MAB_2009",51
"MAB_2010",49
"MAB_2011",51
"MAB_2012",52
"MAB_2013",53
"MAB_2014",51
"MAB_2015",51
"MAB_2016",48
"MAB_2017",46
"MAB_2018",48
"MAB_2019",46
"SS_2000",38
"SS_2001",37
"SS_2002",42
"SS_2003",39
"SS_2004",40
"SS_2005",37
"SS_2006",37
"SS_2007",38
"SS_2008",39
"SS_2009",41
"SS_2010",41
"SS_2011",40
"SS_2012",42
"SS_2013",46
"SS_2014",45
"SS_2015",43
"SS_2016",43
"SS_2017",44
"SS_2018",45
"SS_2019",42
